Gene Description,Gene Accession Number,39,call,40,call,41,call,42,call,43,call,44,call,45,call,46,call,47,call,48,call,49,call,50,call,51,call,52,call,53,call,54,call,55,call,56,call,57,call,58,call,59,call,60,call,61,call,62,call,63,call,64,call,65,call,66,call,67,call,68,call,69,call,70,call,71,call,72,call
AFFX-BioB-3_st (endogenous control),AFFX-BioB-3_st,-591,A,-960,A,-355,A,-517,A,-322,A,-373,A,-375,A,-436,A,-321,A,-643,A,-1014,A,-636,A,-677,A,-469,A,-744,A,-607,A,-436,A,-525,A,-516,A,-238,A,-297,A,-517,A,-507,A,-859,A,-1185,A,-1453,A,-688,A,-443,A,-430,A,-592,A,-247,A,-518,A,-406,A,-309,A
AFFX-BioC-5_st (endogenous control),AFFX-BioC-5_st,-622,A,-622,A,-173,A,-24,A,-319,A,-139,A,-426,A,-171,A,-439,A,-502,A,-906,A,-1166,A,-504,A,-170,A,-331,A,-433,A,-349,A,-401,A,-373,A,-531,A,-289,A,-101,A,-292,A,-572,A,-789,A,-1013,A,-399,A,-252,A,-348,A,-219,A,-454,A,-168,A,-354,A,-521,A
AFFX-BioC-3_st (endogenous control),AFFX-BioC-3_st,-342,A,175,A,-165,A,-99,A,-137,A,-234,A,-187,A,-176,A,-149,A,-129,A,-193,A,-157,A,-98,A,14,A,-372,A,-79,A,-197,A,-162,A,-143,A,-188,A,-81,A,-128,A,-416,A,-150,A,-547,A,-317,A,-212,A,-221,A,-79,A,-149,A,-11,A,-102,A,-133,A,-85,A
AFFX-BioDn-5_st (endogenous control),AFFX-BioDn-5_st,294,A,171,A,-139,A,13,A,144,A,-103,A,23,A,-77,A,-56,A,-31,A,331,A,87,A,205,A,210,A,159,A,-9,A,521,A,30,A,-37,A,176,A,155,A,255,A,158,A,414,A,7,A,173,A,243,A,-180,A,8,A,-76,A,187,A,57,A,252,A,174,A
AFFX-BioDn-3_st (endogenous control),AFFX-BioDn-3_st,241,A,-71,A,144,A,-77,A,-100,A,65,A,-34,A,49,A,117,A,247,A,303,A,314,A,112,A,213,A,303,A,261,A,274,A,337,A,251,A,142,A,195,A,-98,A,307,A,331,A,328,A,344,A,70,A,-76,A,73,A,391,A,154,A,105,A,198,A,161,A
AFFX-CreX-5_st (endogenous control),AFFX-CreX-5_st,-7,A,-163,A,-111,A,-182,A,-201,A,117,A,25,A,7,A,-31,A,-100,A,-273,A,-107,A,-88,A,16,A,-93,A,123,A,67,A,-162,A,-151,A,-108,A,-91,A,-15,A,-175,A,-143,A,-86,A,-206,A,-124,A,-176,A,-119,A,-11,A,0,A,-61,A,-103,A,-93,A
AFFX-CreX-3_st (endogenous control),AFFX-CreX-3_st,-108,A,-445,A,-161,A,-150,A,-408,A,-94,A,-171,A,-70,A,-243,A,-498,A,-566,A,-345,A,-301,A,-109,A,-297,A,-427,A,-184,A,-213,A,-184,A,-231,A,-160,A,-65,A,-656,A,-291,A,-457,A,-623,A,-137,A,-206,A,-87,A,-190,A,-322,A,-167,A,-336,A,-333,A
hum_alu_at (miscellaneous control),hum_alu_at,45815,P,20958,P,28991,P,25880,P,42401,P,27924,P,21229,P,29189,P,41275,P,11195,P,21777,P,18595,P,37749,P,20658,P,19266,P,31068,P,43084,P,49419,P,38690,P,58203,P,49084,P,31022,P,36915,P,39538,P,15689,P,41570,P,22818,P,39323,P,24611,P,19457,P,17499,P,29906,P,20288,P,23462,P
AFFX-DapX-5_at (endogenous control),AFFX-DapX-5_at,57,A,21,A,67,A,41,A,9,A,-807,A,-774,A,14,A,84,A,-20,A,182,A,6,A,30,A,-84,A,-21,A,-23,A,57,A,84,A,-102,A,-111,A,76,A,-76,A,62,A,-104,A,6,A,94,A,2,A,-26,A,27,A,105,A,-5,A,10,A,-55,A,30,A
AFFX-DapX-M_at (endogenous control),AFFX-DapX-M_at,422,P,137,A,32,A,70,A,274,A,-355,A,-286,A,88,A,178,A,188,M,272,A,173,A,295,A,32,A,171,A,163,A,62,A,10,A,104,A,61,A,35,A,133,A,149,A,101,A,302,A,235,A,46,A,73,A,70,A,241,A,135,A,-12,A,74,A,114,A
AFFX-DapX-3_at (endogenous control),AFFX-DapX-3_at,-185,A,-83,A,21,A,-12,A,-26,A,-41,A,-54,A,-93,A,-172,A,-75,A,-135,A,-111,A,-2,A,-18,A,-122,A,-143,A,-22,A,-113,A,-43,A,43,A,-78,A,44,A,-104,A,-60,A,-42,A,-200,A,-75,A,-104,A,-25,A,-4,A,-170,A,-111,A,-121,A,-57,A
AFFX-LysX-5_at (endogenous control),AFFX-LysX-5_at,-48,A,30,A,-43,A,37,A,31,A,7,A,112,M,2,A,-14,A,-29,A,-12,A,-31,A,36,A,3,A,-29,A,70,A,19,A,82,A,62,A,-71,A,94,A,25,A,-17,A,106,P,25,A,27,A,26,A,39,A,23,A,43,A,11,A,78,A,-58,A,13,A
AFFX-LysX-M_at (endogenous control),AFFX-LysX-M_at,-181,A,81,A,-103,A,-15,A,-93,A,-1700,A,-664,A,-137,A,-271,A,-19,A,-270,A,-153,A,-164,A,-85,A,-309,A,-144,A,-109,A,-208,A,-76,A,-250,A,-40,A,-99,A,-110,A,-136,A,-285,A,-162,A,76,A,-110,A,0,A,-44,A,-144,A,-194,A,-72,A,2,A
AFFX-LysX-3_at (endogenous control),AFFX-LysX-3_at,-4,A,300,A,26,A,49,A,115,A,-2658,A,-1383,A,-99,A,73,A,150,A,-44,A,159,A,177,A,-9,A,273,A,132,A,67,A,97,A,68,A,6,A,38,A,1,A,39,A,157,A,35,A,189,A,401,A,34,A,61,A,171,A,123,A,-52,A,74,A,113,A
AFFX-PheX-5_at (endogenous control),AFFX-PheX-5_at,-132,A,-76,A,-86,A,-52,A,-84,A,-207,A,-208,A,-127,A,18,A,-119,A,-183,A,12,A,-64,A,-82,A,-177,A,-57,A,-67,A,0,A,-56,A,71,A,-33,A,-20,A,-56,A,-88,A,-202,A,-51,A,-194,A,6,A,-59,A,5,A,-101,A,-80,A,-51,A,-70,A
AFFX-PheX-M_at (endogenous control),AFFX-PheX-M_at,-2,A,-234,A,-137,A,-120,A,-228,A,-256,A,-178,A,33,A,-2,A,-82,A,-206,A,-86,A,-76,A,-94,A,-226,A,-162,A,-32,A,-2,A,-3,A,-80,A,-45,A,-179,A,-93,A,-134,A,-154,A,-127,A,-101,A,-167,A,-138,A,-99,A,-154,A,-71,A,-156,A,-130,A
AFFX-PheX-3_at (endogenous control),AFFX-PheX-3_at,115,A,-49,A,-68,A,-23,A,-12,A,103,A,431,A,171,A,16,A,-63,A,109,A,19,A,-50,A,9,A,-54,A,-129,A,-32,A,-12,A,-45,A,-52,A,-10,A,-50,A,-15,A,-32,A,87,A,-84,A,-103,A,63,A,14,A,-14,A,44,A,-17,A,22,A,-61,A
AFFX-ThrX-5_at (endogenous control),AFFX-ThrX-5_at,41,A,24,A,-10,A,-37,A,38,A,-59,A,-44,A,-69,A,-23,A,-44,A,-88,A,-11,A,24,A,19,A,-71,A,-110,A,-24,A,5,A,37,A,-34,A,-91,A,53,A,-8,A,-88,A,-26,A,-18,A,39,A,-6,A,-21,A,80,A,6,A,-61,A,-56,A,-38,A
AFFX-ThrX-M_at (endogenous control),AFFX-ThrX-M_at,-50,A,-52,A,-29,A,-70,A,-74,A,-90,A,-78,A,-33,A,102,A,-24,A,-94,A,12,A,-88,A,-76,A,-1,A,77,A,4,A,-74,A,-47,A,102,A,-38,A,52,A,-26,A,-85,A,-34,A,132,A,-68,A,32,A,-19,A,-49,A,-37,A,-103,A,-55,A,-31,A
AFFX-ThrX-3_at (endogenous control),AFFX-ThrX-3_at,-202,A,-370,A,-167,A,-254,A,-377,A,-249,A,-262,A,-122,A,18,A,-232,A,-510,A,-292,A,-215,A,-260,A,-270,A,-224,A,-247,A,-424,A,-216,A,-423,A,-175,A,-150,A,-264,A,-569,A,-500,A,-921,A,-323,A,-173,A,-140,A,-138,A,-265,A,-179,A,-253,A,-193,A
AFFX-TrpnX-5_at (endogenous control),AFFX-TrpnX-5_at,113,A,-35,A,-62,A,51,A,21,A,-51,A,-53,A,-23,A,8,A,31,A,-39,A,97,A,78,A,40,A,-60,A,-20,A,29,A,-5,A,5,A,157,A,25,A,-58,A,28,A,-34,A,20,A,65,A,-83,A,-104,A,21,A,51,A,112,A,-12,A,5,A,-45,A
AFFX-TrpnX-M_at (endogenous control),AFFX-TrpnX-M_at,-557,A,-616,A,-262,A,-340,A,-673,A,-3006,A,-2939,A,-238,A,-462,A,-701,A,-3766,A,-416,A,-438,A,-584,A,-499,A,-442,A,-421,A,-787,A,-707,A,-448,A,-363,A,-682,A,-875,A,-637,A,-609,A,-1249,A,-690,A,-454,A,-512,A,-490,A,-313,A,-508,A,-570,A,-483,A
AFFX-TrpnX-3_at (endogenous control),AFFX-TrpnX-3_at,-687,A,-409,A,-189,A,-149,A,-353,A,-1899,A,-1534,A,-141,A,-212,A,-366,A,-403,A,-118,A,-245,A,-220,A,-156,A,-93,A,-117,A,-285,A,-306,A,-204,A,-277,A,-222,A,-277,A,-305,A,-280,A,-807,A,-153,A,-239,A,-307,A,-101,A,-181,A,-199,A,-243,A,-223,A
AFFX-HUMISGF3A/M97935_5_at (endogenous control),AFFX-HUMISGF3A/M97935_5_at,-289,A,-417,A,-158,A,-153,A,-372,A,-1725,A,-1573,A,-137,A,-191,A,-413,A,-358,A,-60,A,-255,A,-265,A,-118,A,-165,A,-222,A,-375,A,-294,A,-216,A,-228,A,-334,A,-210,A,-252,A,-353,A,-946,A,-224,A,-284,A,-170,A,-117,A,-22,A,-167,A,-170,A,-263,A
AFFX-HUMISGF3A/M97935_MA_at (endogenous control),AFFX-HUMISGF3A/M97935_MA_at,-195,A,-589,A,-56,A,-124,A,-312,A,-1694,A,-1365,A,134,A,52,A,-437,A,-257,A,130,A,-8,A,-208,A,97,A,163,A,-299,A,-206,A,-288,A,49,A,-127,A,-233,A,-273,A,-240,A,-209,A,-626,A,-203,A,-60,A,-32,A,-1122,A,607,A,-117,A,-108,A,-313,A
AFFX-HUMISGF3A/M97935_MB_at (endogenous control),AFFX-HUMISGF3A/M97935_MB_at,135,A,96,A,14,A,194,A,-31,A,126,P,77,A,173,P,203,P,54,A,85,A,166,P,144,A,20,A,349,P,210,P,-59,A,56,A,-33,A,216,A,86,A,22,A,73,A,113,M,183,A,-249,A,25,A,60,A,231,P,185,P,582,P,146,A,136,P,21,A
AFFX-HUMISGF3A/M97935_3_at (endogenous control),AFFX-HUMISGF3A/M97935_3_at,267,P,373,P,165,P,532,P,331,P,321,P,341,P,316,P,1466,P,650,P,652,P,468,P,309,P,253,P,789,P,757,P,137,A,654,P,316,P,574,A,160,P,377,P,353,P,1313,P,657,P,477,A,264,P,306,P,961,P,694,P,1512,P,286,P,556,P,318,P
AFFX-HUMRGE/M10098_5_at (endogenous control),AFFX-HUMRGE/M10098_5_at,57,A,-175,A,104,A,-55,A,307,A,223,A,-115,A,291,P,-18,A,1453,P,10309,P,-225,A,1914,P,36,A,1396,P,-104,A,-199,A,0,A,-112,A,-173,A,-43,A,-63,A,-56,A,34,A,3762,P,-159,A,104,A,569,P,106,A,32,A,53,A,8378,P,-25,A,31,A
AFFX-HUMRGE/M10098_M_at (endogenous control),AFFX-HUMRGE/M10098_M_at,-238,A,-304,A,53,A,-341,A,-62,A,53,A,-238,A,44,A,-189,A,632,P,6028,P,-677,A,211,A,-190,A,708,P,-296,A,-431,A,-357,A,-261,A,-513,A,-238,A,-269,A,-442,A,-62,A,2164,P,-745,A,-159,A,478,P,-38,A,-104,A,-49,A,4246,P,-143,A,-190,A
AFFX-HUMRGE/M10098_3_at (endogenous control),AFFX-HUMRGE/M10098_3_at,-337,A,-371,A,-109,A,-313,A,-182,A,254,P,12,A,327,P,-233,A,362,P,3806,P,-177,A,492,P,-201,A,1099,P,-308,A,-416,A,-481,A,-227,A,-454,A,-434,A,-225,A,-244,A,-308,A,1076,P,-834,A,120,A,130,P,-295,A,-49,P,0,P,6833,P,-154,A,-218,A
AFFX-HUMGAPDH/M33197_5_at (endogenous control),AFFX-HUMGAPDH/M33197_5_at,6339,P,10756,P,10171,P,15439,P,12489,P,20411,P,16760,P,19690,P,7760,P,14640,P,10093,P,23636,P,20667,P,21021,P,19002,P,11457,P,12594,P,8770,P,15277,P,12320,P,9860,P,15080,P,14081,P,6883,P,11955,P,8395,P,10245,P,6687,P,11170,P,21537,P,22417,P,11777,P,6332,P,7661,P
AFFX-HUMGAPDH/M33197_M_at (endogenous control),AFFX-HUMGAPDH/M33197_M_at,5199,P,10207,P,17294,P,14345,P,16066,P,21334,P,14799,P,19406,P,9582,P,10675,P,10127,P,14007,P,20836,P,15692,P,14266,P,15696,P,14427,P,7956,P,20230,P,14969,P,12353,P,18761,P,14764,P,9718,P,11709,P,5408,P,14968,P,9615,P,13624,P,15601,P,13884,P,13011,P,5905,P,8189,P
AFFX-HUMGAPDH/M33197_3_at (endogenous control),AFFX-HUMGAPDH/M33197_3_at,9045,P,21238,P,21971,P,17735,P,19426,P,21580,P,17467,P,21859,P,16248,P,17262,P,19092,P,19127,P,25327,P,22613,P,21448,P,19866,P,22001,P,12076,P,23591,P,16230,P,17989,P,21628,P,18201,P,19449,P,18094,P,21232,P,20096,P,17406,P,14872,P,19960,P,18211,P,19526,P,7472,P,12036,P
AFFX-HSAC07/X00351_5_at (endogenous control),AFFX-HSAC07/X00351_5_at,19541,P,9857,P,9902,P,15363,P,13309,P,20371,P,10761,P,14924,P,6858,P,11636,P,17374,P,17465,P,12524,P,3290,P,16588,P,23593,P,16561,P,8121,P,15020,P,27633,P,12180,P,24538,P,23622,P,11301,P,16134,P,9935,P,8175,P,10269,P,18996,P,13239,P,16371,P,15123,P,16896,P,10068,P
AFFX-HSAC07/X00351_M_at (endogenous control),AFFX-HSAC07/X00351_M_at,27768,P,13271,P,17778,P,20794,P,16775,P,25052,P,15420,P,20034,P,12511,P,14738,P,23936,P,21896,P,15017,P,6367,P,18852,P,31534,P,25966,P,13243,P,21282,P,43858,P,13881,P,33580,P,31262,P,21247,P,22495,P,11687,P,16573,P,15596,P,27062,P,19421,P,19052,P,20711,P,20719,P,15982,P
AFFX-HSAC07/X00351_3_at (endogenous control),AFFX-HSAC07/X00351_3_at,24477,P,17671,P,20434,P,20166,P,14547,P,22296,P,17384,P,14555,P,18311,P,15303,P,21605,P,14056,P,11446,P,16963,P,14715,P,26920,P,19904,P,15388,P,16637,P,41768,P,11217,P,25423,P,28813,P,32898,P,17352,P,27611,P,20322,P,14726,P,22681,P,16631,P,16624,P,18758,P,18028,P,18336,P
AFFX-HUMTFRR/M11507_5_at (endogenous control),AFFX-HUMTFRR/M11507_5_at,149,A,218,A,159,P,497,P,677,P,118,A,140,A,70,A,254,P,217,P,366,P,364,P,470,P,139,A,414,P,179,A,152,A,306,P,139,A,225,P,104,A,210,P,314,P,342,A,302,P,425,A,215,P,99,A,267,P,243,P,197,P,154,P,179,P,231,P
AFFX-HUMTFRR/M11507_M_at (endogenous control),AFFX-HUMTFRR/M11507_M_at,19,A,-8,A,-90,A,399,P,473,P,-68,A,-109,A,-12,A,100,A,-6,A,-236,A,162,A,335,P,-76,A,496,P,-71,A,-79,A,18,A,-11,A,-49,A,-73,A,-38,A,-91,A,-23,A,16,A,-56,A,93,A,119,A,92,A,-45,A,-11,A,4,A,42,A,-66,A
AFFX-HUMTFRR/M11507_3_at (endogenous control),AFFX-HUMTFRR/M11507_3_at,229,A,-61,A,81,A,859,P,795,P,72,A,89,A,155,P,216,M,222,P,138,A,714,P,772,P,33,A,973,P,216,A,262,A,254,A,94,A,491,A,-2,A,196,A,305,P,-113,A,214,A,238,M,152,A,173,P,442,P,146,P,233,P,129,A,305,P,218,A
AFFX-M27830_5_at (endogenous control),AFFX-M27830_5_at,6418,P,92,M,281,P,207,P,584,P,30139,P,15215,P,30496,P,170,A,1491,P,12616,P,115,M,1182,P,276,P,2080,P,-51,A,104,A,355,P,78,A,77,A,249,A,68,A,4,A,201,M,1030,P,146,A,142,A,349,P,200,P,421,P,222,P,17714,P,319,P,346,P
AFFX-M27830_M_at (endogenous control),AFFX-M27830_M_at,27707,P,2029,A,765,A,2582,A,1365,A,9827,P,12263,A,15351,A,851,A,2967,A,13679,A,851,A,2204,A,2268,A,3804,A,790,A,446,A,1817,A,929,A,982,A,1354,A,490,A,448,A,3116,A,2801,A,414,A,1562,A,1830,A,1930,P,1618,A,1233,A,17926,P,1714,A,1313,A
AFFX-M27830_3_at (endogenous control),AFFX-M27830_3_at,456,A,344,A,-6,A,822,A,685,A,211,A,190,A,82,A,323,A,963,A,816,A,-513,A,-48,A,20,A,980,A,728,A,431,A,723,A,623,A,1233,A,411,A,352,A,583,A,544,A,1110,A,721,A,-510,A,156,A,102,A,-287,A,970,A,187,A,685,A,751,A
AFFX-HSAC07/X00351_3_st (endogenous control),AFFX-HSAC07/X00351_3_st,622,M,601,P,1668,P,1041,P,1122,P,1562,P,546,P,952,P,968,P,1218,P,4062,P,748,P,697,P,3499,P,844,P,1039,P,826,P,847,P,740,P,1190,P,1995,P,1573,P,970,P,1443,P,4748,P,1152,P,962,P,1143,P,985,P,1151,P,630,P,2346,P,717,P,922,P
AFFX-HUMGAPDH/M33197_5_st (endogenous control),AFFX-HUMGAPDH/M33197_5_st,72,A,-68,A,133,A,129,A,252,A,-16,A,53,A,140,A,-56,A,35,A,-252,A,534,A,168,A,163,A,50,A,20,A,67,A,28,A,7,A,83,A,43,A,199,A,10,A,-236,A,241,A,-75,A,-18,A,-39,A,-19,A,-182,A,176,A,126,A,50,A,73,A
AFFX-HUMGAPDH/M33197_M_st (endogenous control),AFFX-HUMGAPDH/M33197_M_st,267,A,257,A,220,A,8,A,124,A,308,A,131,A,66,A,268,A,95,A,0,A,470,P,406,P,364,P,267,M,126,A,119,A,-72,A,161,A,-120,A,111,A,28,A,-112,A,50,A,379,P,-390,A,7,A,65,A,215,A,45,A,254,A,335,P,132,A,158,A
AFFX-HUMGAPDH/M33197_3_st (endogenous control),AFFX-HUMGAPDH/M33197_3_st,-70,A,440,A,183,A,158,A,223,A,180,A,66,A,109,M,84,A,262,A,294,P,334,P,450,P,981,P,721,P,18,A,172,P,169,P,294,P,0,A,210,P,199,P,158,P,-27,A,670,P,398,P,133,A,95,A,87,P,33,P,45,A,402,P,147,A,234,P
AFFX-HSAC07/X00351_5_st (endogenous control),AFFX-HSAC07/X00351_5_st,-299,A,-155,A,-90,A,-232,A,-245,A,-211,A,-399,A,-85,A,-132,A,-105,A,-105,A,347,A,-174,A,-69,A,-47,A,-85,A,-329,A,-507,A,-170,A,-268,A,-241,A,-204,A,-286,A,-132,A,34,A,-54,A,-231,A,-102,A,-32,A,-246,A,-192,A,-7,A,-154,A,-179,A
AFFX-HSAC07/X00351_M_st (endogenous control),AFFX-HSAC07/X00351_M_st,193,A,660,A,216,A,435,A,516,M,166,A,-52,A,142,A,-4,A,133,A,1062,P,510,P,211,A,107,A,423,P,137,A,212,M,484,P,229,A,340,A,261,A,236,A,396,A,284,A,687,P,528,A,133,A,78,A,183,M,102,A,33,A,392,P,155,A,175,A
GB DEF = GABAa receptor alpha-3 subunit,A28102_at,241,A,430,A,261,A,96,A,555,P,308,P,472,P,108,A,65,A,260,P,91,A,472,A,430,A,138,A,88,A,120,A,267,A,381,A,163,P,1106,P,289,P,402,A,145,A,373,A,395,P,311,A,316,A,228,A,245,A,206,P,171,A,249,M,118,A,59,A
Osteomodulin,AB000114_at,-38,A,4,A,45,A,31,A,168,P,34,A,249,P,76,A,-212,A,28,A,68,A,-20,A,-48,A,-52,A,40,A,3,A,12,A,66,A,64,A,185,A,124,A,82,A,49,A,-23,A,73,A,-56,A,0,A,36,A,28,A,19,A,29,A,-3,A,44,A,-42,A
mRNA,AB000115_at,251,A,131,P,123,A,138,P,149,P,219,P,585,P,127,A,1147,P,128,P,327,A,183,A,124,A,99,P,66,A,252,A,84,A,131,A,131,A,859,P,167,M,191,A,65,A,377,A,334,P,235,A,105,A,106,A,501,P,101,P,1421,P,215,P,174,P,154,P
Semaphorin E,AB000220_at,98,A,68,A,51,A,40,A,31,A,167,P,202,P,38,A,35,A,46,P,96,A,29,A,-22,A,5,A,45,A,68,A,-24,A,164,P,29,A,68,A,20,A,11,A,47,A,-34,A,73,A,46,A,104,A,113,P,65,A,-7,A,15,A,49,A,43,A,26,P
MNK1,AB000409_at,-260,A,181,P,125,M,-120,A,134,A,121,P,161,P,10,A,-77,A,0,P,-354,A,-6,A,-42,A,66,P,-151,A,341,P,-184,P,-110,A,-53,A,-98,P,-30,A,-42,M,-268,P,403,P,417,P,845,P,-76,A,19,P,87,P,101,P,125,P,27,A,-22,A,18,A
VRK1,AB000449_at,149,P,70,A,353,P,283,P,372,P,249,P,275,P,115,P,285,P,833,P,190,A,81,A,18,A,-41,A,90,A,180,A,89,A,257,A,64,A,46,A,195,A,201,P,69,A,85,A,259,A,168,A,38,A,141,M,115,A,347,P,382,P,37,P,61,A,93,P
VRK2,AB000450_at,275,A,406,A,259,P,113,A,122,A,209,P,360,P,63,A,172,P,390,P,199,A,78,A,217,A,100,A,145,A,210,P,117,A,193,A,82,A,98,A,2,A,90,A,136,A,152,A,359,A,517,P,261,A,165,P,179,A,188,P,308,P,129,A,127,A,94,A
mRNA; clone RES4-22A,AB000460_at,2573,P,1963,P,2548,P,1082,P,884,P,1128,P,1604,P,785,P,1548,P,2222,P,2867,P,1978,P,1617,P,714,P,2496,P,1783,P,1333,P,1993,P,1481,P,1947,P,1232,P,1502,P,2316,P,1844,P,2656,P,3570,P,1397,P,1030,P,1505,P,1910,P,1813,P,1249,P,1300,P,1541,P
SH3 binding protein; clone RES4-23A,AB000462_at,168,A,81,A,566,A,111,A,175,A,142,P,197,P,72,A,239,A,246,P,102,A,108,A,124,A,122,A,457,A,116,P,57,A,113,A,66,A,544,P,10,A,87,A,73,A,64,A,318,A,92,A,60,A,73,A,216,A,20,A,270,M,-12,A,31,A,78,A
mRNA; clone RES4-24A; exon 1; 2; 3; 4,AB000464_at,1151,P,1021,P,181,A,530,A,454,P,336,P,383,P,270,A,582,P,592,P,750,P,815,P,748,A,192,A,1088,P,910,A,347,P,607,A,479,A,918,P,180,A,661,P,1521,P,741,P,1001,A,973,P,675,P,499,A,595,P,548,A,348,P,371,P,620,A,882,P
mRNA; clone RES4-24C; exon 1; 2; 3,AB000466_at,-885,A,-1036,A,-322,A,-1281,A,-990,A,-394,A,-355,A,-586,A,-451,A,-1046,A,-1940,A,-1612,A,-1224,A,-729,A,-1366,A,-506,A,-893,A,-893,A,-748,A,-1115,A,-922,A,-653,A,-853,A,-829,A,-1423,A,-1740,A,-507,A,-465,A,-407,A,-819,A,-532,A,-628,A,-538,A,-466,A
mRNA; clone RES4-25; partial cds,AB000467_at,-883,A,-800,A,-781,A,-703,A,-1115,A,-538,A,-872,A,-925,A,-369,A,-1123,A,-1394,A,-1082,A,-1597,A,-714,A,-754,A,-515,A,-464,A,-1037,A,-251,A,-850,A,-447,A,-629,A,-988,A,-1258,A,-1255,A,-1228,A,-581,A,-445,A,-179,A,-296,A,-716,A,-745,A,-976,A,-558,A
